,Packed,Scatter,HPO,EPO
BC_2TH,0.0027564,0.002706,0.0027575,0.0093624
BFS_2TH,0.0027671,0.0027088,0.0027614,0.0093813
BT_2TH,0.024375,0.0243847,0.0243727,0.1000403
CC_2TH,0.0027699,0.0027145,0.0027676,0.0094017
CG_2TH,0.0221153,0.0222623,0.0221415,0.067701
FT_2TH,0.0384413,0.0348576,0.0382064,0.1312703
IS_2TH,0.0051165,0.0061811,0.0051025,0.0197823
MG_2TH,0.0025642,0.0025388,0.0025632,0.0094491
PR_2TH,0.0027633,0.0027105,0.0027615,0.0093748
SP_2TH,0.0129069,0.0130324,0.0129114,0.0524459
SSSP_2TH,0.0029515,0.002906,0.0029427,0.0101927
TC_2TH,0.0027727,0.0027127,0.0027637,0.0093953
lavaMD_2TH,0.0001754,0.0001763,0.0001765,0.00037
BC_4TH,0.0025109,0.0024846,0.0025109,0.0084358
BFS_4TH,0.0025088,0.0024891,0.0025098,0.0084683
BT_4TH,0.0153598,0.0153274,0.015363,0.0628224
CC_4TH,0.0025184,0.0024965,0.00252,0.0084963
CG_4TH,0.0092701,0.0091399,0.0092694,0.0364109
FT_4TH,0.0208693,0.0178809,0.021131,0.0683483
IS_4TH,0.0027559,0.0027364,0.0027623,0.0107175
MG_4TH,0.0015005,0.0014762,0.0014982,0.0055288
PR_4TH,0.0025122,0.0024886,0.0025125,0.0084386
SP_4TH,0.008693,0.0086693,0.0087167,0.0351741
SSSP_4TH,0.0026976,0.0026721,0.002701,0.0091802
TC_4TH,0.002512,0.0024932,0.0025164,0.0084686
lavaMD_4TH,0.0001754,0.0001768,0.0001754,0.0003716
BC_8TH,0.0079537,0.0023099,0.0023094,0.0075755
BFS_8TH,0.0079886,0.0023131,0.0023104,0.0076001
BT_8TH,0.0413444,0.0106217,0.0106189,0.0427055
CC_8TH,0.0080203,0.0023161,0.0023213,0.0076295
CG_8TH,0.0205465,0.0052144,0.0052189,0.0195651
FT_8TH,0.0361031,0.0096209,0.0096251,0.0323662
IS_8TH,0.0055464,0.0015131,0.0015151,0.0053912
MG_8TH,0.0034295,0.0009995,0.0009982,0.0034646
PR_8TH,0.007977,0.0023123,0.0023105,0.007579
SP_8TH,0.0235894,0.006278,0.0062712,0.0243859
SSSP_8TH,0.0086274,0.0024773,0.0024737,0.0082625
TC_8TH,0.0079896,0.0023168,0.0023174,0.0076019
lavaMD_8TH,0.0003254,0.0001772,0.0001776,0.0003751
BC_16TH,0.0074743,0.0074899,0.0074767,0.0073214
BFS_16TH,0.0074999,0.0075009,0.0075116,0.007354
BT_16TH,0.0234865,0.0234551,0.0234814,0.0240239
CC_16TH,0.0074055,0.0074086,0.0073998,0.0072343
CG_16TH,0.0113764,0.0113586,0.0113749,0.01159
FT_16TH,0.0176351,0.0177042,0.0176447,0.0177385
IS_16TH,0.0033715,0.0033718,0.0033644,0.0034222
MG_16TH,0.002454,0.0024173,0.0024081,0.0025492
PR_16TH,0.0072594,0.0072673,0.0072623,0.0071101
SP_16TH,0.0152897,0.0153436,0.0153242,0.0157561
SSSP_16TH,0.0080754,0.0080954,0.0080789,0.0079078
TC_16TH,0.0074998,0.0074996,0.0075135,0.0073405
lavaMD_16TH,0.0003279,0.0003272,0.0003277,0.0003762
